"sku","product_name_in_store","vendor","price_found","source_url","notes"
"92647","גוף תאורה לד מרובע צמוד תקרה DISC מידות 225/225 הספק 18W אור טבעי FETAYA","פתיה","","",""
"92547","גוף תאורה לד מרובע צמוד תקרה DISC מידות 225/225 הספק 18W אור חם FETAYA","פתיה","","",""
"92447","גוף תאורה לד מרובע צמוד תקרה DISC מידות 225/225 הספק 18W אור קר FETAYA","פתיה","","",""
"92564","גוף תאורה פרבולי לד BACK LIGHT 36W אור חם FETAYA","פתיה","","",""
"92569","גוף תאורה פרבולי לד BACK LIGHT 40W אור טבעי FETAYA","פתיה","","",""
"9550","בית מנורה LIRI הספק 100W FETAYA","פתיה","","",""
"9014","בית מנורה חרסינה הספק 100W FETAYA","פתיה","","",""
"9013","בית מנורה חרסינה עם רגל הספק 100W FETAYA","פתיה","","",""
"9054","גוף תאורה צמוד תקרה דקורטיבי MELROSE צבע גוף לבן FETAYA","פתיה","","",""
"9243","תושבת לגוף תאורה שלט יציאת חירום NEPTUNE לתקרה חלולה FETAYA","פתיה","","",""
"9242","סט 4 יחידות פקטוגרמה לשלט יציאה NEPTUNE - אגלית FETAYA","פתיה","","",""
"9134","גוף תאורה פעמון לד 200W MOR גוון 50K FETAYA","פתיה","","",""
"9158","מנורת לילה לד פוטוצל הספק 1Wצבע עדשה שקוף גוון אור קר FETAYA","פתיה","","",""
